考場,梯次,報名時間,開考日
忠明,1,01/01-01/06,01/22
忠明,2,02/03-02/08,02/24
忠明,3,02/23-02/28,03/16
忠明,4,03/30-04/04,04/20
忠明,5,04/27-05/02,05/18
忠明,6,05/25-05/30,06/15
忠明,7,06/29-07/04,07/20
忠明,8,07/27-08/01,08/17
忠明,9,08/24-08/29,09/14
忠明,10,09/28-10/03,10/19
忠明,11,10/26-10/31,11/16
忠明,12,11/23-11/28,12/14
龍井,1,01/07-01/12,01/28
龍井,2,02/05-02/10,02/26
龍井,3,03/02-03/07,03/23
龍井,4,04/06-04/11,04/27
龍井,5,05/04-05/09,05/25
龍井,6,06/01-06/06,06/22
龍井,7,07/06-07/11,07/27
龍井,8,08/03-08/08,08/24
龍井,9,08/31-09/05,09/21
龍井,10,10/06-10/11,10/27
龍井,11,11/02-11/07,11/23
龍井,12,11/30-12/05,12/21
